product_id,supplier_id,product_code,priorityIndex,measure_id,qty_of_measure,abbreviation
0f307baf42f3b2189b44f707c8606c2e,XzKzAD6uPnLz7JLKBFqn,3204277,1.0,4mwgSAFKoNSRfDIZykoL,2.0,CS
0f307baf42f3b2189b44f707c8606c2e,XzKzAD6uPnLz7JLKBFqn,3204277,1.0,4mwgSAFKoNSRfDIZykoL,2.0,CA
0f307baf42f3b2189b44f707c8606c2e,XzKzAD6uPnLz7JLKBFqn,3204277,1.0,4mwgSAFKoNSRfDIZykoL,1.0,EA
0f307baf42f3b2189b44f707c8606c2e,XzKzAD6uPnLz7JLKBFqn,3204277,1.0,4mwgSAFKoNSRfDIZykoL,1.0,UN
0f307baf42f3b2189b44f707c8606c2e,6O1FtPg5V9woBCwOqtY2,333272,0.0,4mwgSAFKoNSRfDIZykoL,1.0,CS
0f307baf42f3b2189b44f707c8606c2e,6O1FtPg5V9woBCwOqtY2,333272,0.0,RtSe4oh5jnIeUSdNH74A,1.0,KG
0f338c8df96918b47f109975a46e09db,nl335PEacrsOYpqR8HRl,2470001,,RtSe4oh5jnIeUSdNH74A,1.0,kg
0f531860185c656d15926aac822973af,XzKzAD6uPnLz7JLKBFqn,1340076,0.0,4mwgSAFKoNSRfDIZykoL,2.0,CS
0f531860185c656d15926aac822973af,XzKzAD6uPnLz7JLKBFqn,1340076,0.0,4mwgSAFKoNSRfDIZykoL,2.0,CA
0fcc9aa6c6a6a3d5f554f7b8f31d9970,eXvMfXQhJcFxyGPe5gXg,4209,1.0,,,
0fcc9aa6c6a6a3d5f554f7b8f31d9970,nl335PEacrsOYpqR8HRl,1980001,0.0,4mwgSAFKoNSRfDIZykoL,12.0,CS
0fffe51844fe08dea685df33f22982fa,nl335PEacrsOYpqR8HRl,920008,0.0,4mwgSAFKoNSRfDIZykoL,1.0,CS
0p9d8o19yfWU5cl8ZoJN,2YbkFlGIasSqv7fjssPs,12929052,0.0,4mwgSAFKoNSRfDIZykoL,1.0,BT
0p9d8o19yfWU5cl8ZoJN,yFE9EKLwAnwelKdCjqqm,,1.0,,,
0u3lRzXtlzAqA9NwKIn6,2YbkFlGIasSqv7fjssPs,15224349,0.0,4mwgSAFKoNSRfDIZykoL,1.0,BT
0ugSvE6Li4OnUfqQ5pUC,2YbkFlGIasSqv7fjssPs,15089280,1.0,4mwgSAFKoNSRfDIZykoL,1.0,BT
0ugSvE6Li4OnUfqQ5pUC,KsZ47HDmai5ztc0W2iAe,,0.0,,,
0usIIStzzHSZ2MbQahyG,2YbkFlGIasSqv7fjssPs,14833345,0.0,4mwgSAFKoNSRfDIZykoL,1.0,BT
0zLPPf2SStJ0fbh92Fhr,2YbkFlGIasSqv7fjssPs,14923041,0.0,4mwgSAFKoNSRfDIZykoL,1.0,BT
10b1ffc35b24b37596d4e2f342d08fe4,UeRNZf0p9FHnx54VTu5j,203173,0.0,4mwgSAFKoNSRfDIZykoL,100.0,CS
10jD8fVJKe6yGqRJesk6,nl335PEacrsOYpqR8HRl,1830050,1.0,lCDrg9U0L5F0q2tHZzYS,16.0,UN
10jD8fVJKe6yGqRJesk6,nl335PEacrsOYpqR8HRl,1830050,1.0,lCDrg9U0L5F0q2tHZzYS,16.0,CS
10jD8fVJKe6yGqRJesk6,XzKzAD6uPnLz7JLKBFqn,1361696,0.0,lCDrg9U0L5F0q2tHZzYS,16.0,UN
10jD8fVJKe6yGqRJesk6,XzKzAD6uPnLz7JLKBFqn,1361696,0.0,lCDrg9U0L5F0q2tHZzYS,16.0,CA
10jD8fVJKe6yGqRJesk6,UeRNZf0p9FHnx54VTu5j,917030,2.0,lCDrg9U0L5F0q2tHZzYS,16.0,CS
1175267d952539d7a6fe53b01fa91ebf,JAsDh647LUxzEXEYsV8V,[CSTVI-224],0.0,4mwgSAFKoNSRfDIZykoL,1.0,CS
1175267d952539d7a6fe53b01fa91ebf,JAsDh647LUxzEXEYsV8V,[CSTVI-224],0.0,3yEPH8i3xLX8vwwLjfkd,500.0,SAC
118156cf998d25ebbcf6be9ee5fc24f3,6O1FtPg5V9woBCwOqtY2,51150,0.0,4mwgSAFKoNSRfDIZykoL,1.0,SEA
119c26c50867b623436e8f37cd44c127,nl335PEacrsOYpqR8HRl,1360001,0.0,4mwgSAFKoNSRfDIZykoL,12.0,CS
1234,XzKzAD6uPnLz7JLKBFqn,9610405,,4mwgSAFKoNSRfDIZykoL,1.0,CS
1234,XzKzAD6uPnLz7JLKBFqn,9610405,,4mwgSAFKoNSRfDIZykoL,1.0,CA
12467942c4269d61c606c1ee518c8c10,i4WUuukB1lQKO4BVkhK2,EPE05000,,4mwgSAFKoNSRfDIZykoL,5.0,cs
12520e618ad7eafed3d9c08386d371b9,nl335PEacrsOYpqR8HRl,2670014,0.0,4mwgSAFKoNSRfDIZykoL,1000.0,CS
128dcf7fde7f3dca2f6c35ab52995a0f,XzKzAD6uPnLz7JLKBFqn,5917005,0.0,RtSe4oh5jnIeUSdNH74A,20.0,CA
128dcf7fde7f3dca2f6c35ab52995a0f,nl335PEacrsOYpqR8HRl,1400004,4.0,0NZwvGn10sWlTvPDFaOA,1.0,PO
128dcf7fde7f3dca2f6c35ab52995a0f,nl335PEacrsOYpqR8HRl,1400023,1.0,RtSe4oh5jnIeUSdNH74A,20.0,PO
128dcf7fde7f3dca2f6c35ab52995a0f,XzKzAD6uPnLz7JLKBFqn,5917805,2.0,RtSe4oh5jnIeUSdNH74A,20.0,CA
128dcf7fde7f3dca2f6c35ab52995a0f,XzKzAD6uPnLz7JLKBFqn,1427027,3.0,RtSe4oh5jnIeUSdNH74A,20.0,CA
135ecbc2a46fe5a9a32ac7bbb3cc4c00,nl335PEacrsOYpqR8HRl,2940081,0.0,4mwgSAFKoNSRfDIZykoL,8.0,CS
